location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	places_code	places	keywords
113.331404,23.120906	兴盛汇	天河区	广州市	B0FFIEDBJ7	[]	喜茶热麦(兴盛汇)	广东省	020-85200208	餐饮服务;冷饮店;冷饮店	050700	113.331404	23.120906	440000	广东省	喜茶
113.333542,23.135789	天河东路75号太古汇坊商场首层108号商铺	天河区	广州市	B0FFIEC560	[]	喜茶	广东省	020-85201018	餐饮服务;餐饮相关场所;餐饮相关	050000	113.333542	23.135789	440000	广东省	喜茶
114.031851,22.534342	泰然四路29号创新科技广场B座临街商铺1层104B	福田区	深圳市	B0FFIEAJCF	[]	喜茶(天安数码城店)	广东省	0755-82548471	餐饮服务;餐饮相关场所;餐饮相关	050000	114.031851	22.534342	440000	广东省	喜茶
115.740185,24.135619	和平路25号	兴宁市	梅州市	B0FFIC0M2Y	[]	又一喜茶(兴宁店)	广东省	13826653026	餐饮服务;冷饮店;冷饮店	050700	115.740185	24.135619	440000	广东省	喜茶
114.065085,22.531665	福华三路与金田路卓越intown商场1层L125-L126	福田区	深圳市	B0FFIBP0FQ	[]	喜茶热麦(卓越INTOWN购物中心)	广东省	0755-86659952	餐饮服务;冷饮店;冷饮店|餐饮服务;休闲餐饮场所;休闲餐饮场所	050700|050400	114.065085	22.531665	440000	广东省	喜茶
113.872471,23.108974	京瓷路与龙城二路交叉口西150米	东莞市	东莞市	B0FFIA5AIA	[]	宣喜茶	广东省	13798795228	餐饮服务;冷饮店;冷饮店	050700	113.872471	23.108974	440000	广东省	喜茶
113.281971,23.136634	建设大马路18号101房保利中环广场南塔首层自编102铺	越秀区	广州市	B0FFI9EPSZ	[]	HEYTEA喜茶(广州越秀中环广场店)	广东省	020-85200128	餐饮服务;冷饮店;冷饮店	050700	113.281971	23.136634	440000	广东省	喜茶
114.416495,23.068732	演达大道11号港惠新天地商业广场购物中心二期第一层A1007号商铺	惠城区	惠州市	B0FFI9EC3V	[]	HEYTEA喜茶(惠州港惠新天地店)	广东省	0752-2888660	餐饮服务;餐饮相关场所;餐饮相关	050000	114.416495	23.068732	440000	广东省	喜茶
113.324606,23.118559	冼村街道花城广场珠江东路30号东花城汇南区B1层B13	天河区	广州市	B0FFI8RKMC	[]	喜茶HEEKCAA(花城汇南店)	广东省	020-83303073	购物服务;购物相关场所;购物相关场所	060000	113.324606	23.118559	440000	广东省	喜茶
113.261335,23.195093	机场路1399号百信广场L1层	白云区	广州市	B0FFI7UV3H	[]	喜茶(百信广场)	广东省	020-85200355	餐饮服务;冷饮店;冷饮店	050700	113.261335	23.195093	440000	广东省	喜茶
113.941829,22.944304	圣堂社区荔湾西路11号新雅园A栋3座一层A12	东莞市	东莞市	B0FFI7RLTS	[]	HEAKCEE又一喜茶(大朗店)	广东省	15766371912	餐饮服务;冷饮店;冷饮店	050700	113.941829	22.944304	440000	广东省	喜茶
114.059759,22.535798	福华一路怡景中心城G层FG008号	福田区	深圳市	B0FFI6B6H1	[]	HEYTEA喜茶(深圳怡景中心城店)	广东省	0755-86636383	餐饮服务;冷饮店;冷饮店	050700	114.059759	22.535798	440000	广东省	喜茶
113.383985,22.512188	中山三路利和广场1层	中山市	中山市	B0FFI68ROX	[]	HEYTEA喜茶(利和广场店)	广东省	0760-88325552	餐饮服务;冷饮店;冷饮店	050700	113.383985	22.512188	440000	广东省	喜茶
113.753957,23.006772	鸿福路200号第一国际汇一城1号楼1层B1167号	东莞市	东莞市	B0FFI1Q31E	[]	喜茶(汇一城店)	广东省	0769-22885273	餐饮服务;冷饮店;冷饮店	050700	113.753957	23.006772	440000	广东省	喜茶
114.020832,22.626250	人民路2020号九方购物中心F1层	龙华区	深圳市	B0FFHXSAQ8	[]	喜茶(九方购物中心)	广东省	0755-21007831	餐饮服务;冷饮店;冷饮店	050700	114.020832	22.626250	440000	广东省	喜茶
114.111329,22.539551	宝安南路万象城室外1层G009	罗湖区	深圳市	B0FFHXQ2LQ	[]	喜茶(万象黑金店)	广东省	0755-86656825	餐饮服务;冷饮店;冷饮店	050700	114.111329	22.539551	440000	广东省	喜茶
113.269153,23.180982	云城西路888号凯德广场云尚F1层L1-21	白云区	广州市	B0FFHXP96K	[]	喜茶(凯德广场云尚)	广东省	020-85200881	餐饮服务;冷饮店;冷饮店	050700	113.269153	23.180982	440000	广东省	喜茶
113.925859,22.512299	南海大道2163号来福士广场02层08B号	南山区	深圳市	B0FFHVMZND	[]	喜茶(来福士广场店)	广东省	0755-86260289	餐饮服务;餐饮相关场所;餐饮相关	050000	113.925859	22.512299	440000	广东省	喜茶
113.140699,23.032661	桂城街道南海大道北75号凯德广场·桂城01层29/30号(星巴克旁)	南海区	佛山市	B0FFHU00QJ	[]	HEYTEA喜茶(佛山桂城凯德店)	广东省	0757-86321239	餐饮服务;甜品店;甜品店	050900	113.140699	23.032661	440000	广东省	喜茶
113.975015,22.537673	深南大道9028号益田假日广场B2层	南山区	深圳市	B0FFHR23MX	[]	喜茶(益田假日广场)	广东省	0755-86260283	餐饮服务;冷饮店;冷饮店	050700	113.975015	22.537673	440000	广东省	喜茶
113.258316,22.835072	大良中区东乐路3号德富大厦首层23号铺	顺德区	佛山市	B0FFHOX93Z	[]	喜茶(大良店)	广东省	0757-22202830	餐饮服务;冷饮店;冷饮店	050700	113.258316	22.835072	440000	广东省	喜茶
113.233092,22.667917	下基路与新市路交叉口西南50米	中山市	中山市	B0FFHNXX9S	[]	喜茶(小榄新永店)	广东省	0760-22269800	餐饮服务;冷饮店;冷饮店	050700	113.233092	22.667917	440000	广东省	喜茶
114.115775,22.544808	建设路3018号1234SpaceF2层L212	罗湖区	深圳市	B0FFHLAB6Z	[]	HEYTEA喜茶(深圳东门1234店)	广东省	0755-86629288	餐饮服务;冷饮店;冷饮店	050700	114.115775	22.544808	440000	广东省	喜茶
113.331335,23.115575	珠江新城兴民路222号天汇广场igcB1层	天河区	广州市	B0FFHJEUSJ	[]	喜茶(天汇广场店)	广东省	020-37392323	餐饮服务;冷饮店;冷饮店	050700	113.331335	23.115575	440000	广东省	喜茶
113.768863,23.031960	东城西路雍华庭步行街C03号(即麦当劳附近)	东莞市	东莞市	B0FFHJ0USJ	[]	heekcaa喜茶(雍华庭店)	广东省	0769-23015627	餐饮服务;冷饮店;冷饮店	050700	113.768863	23.031960	440000	广东省	喜茶
114.038304,22.560864	梅林街道北环大道与梅林路交汇处购物中心1层L1001号	福田区	深圳市	B0FFHIVXPA	[]	喜茶(绿景虹湾店)	广东省	0755-86629008	餐饮服务;冷饮店;冷饮店	050700	114.038304	22.560864	440000	广东省	喜茶
113.332252,23.132508	天河路236号华龙大厦好家庭运动城1层A05-06号	天河区	广州市	B0FFHGS30W	[]	喜茶(石牌桥店)	广东省	020-87085932	餐饮服务;冷饮店;冷饮店	050700	113.332252	23.132508	440000	广东省	喜茶
113.324571,23.118560	珠江新城珠江西路89号海印都荟城B1层B13号	天河区	广州市	B0FFHGJM0S	[]	HEYTEA喜茶(广州花城汇南店)	广东省	020-83303073	餐饮服务;冷饮店;冷饮店	050700	113.324571	23.118560	440000	广东省	喜茶
114.060583,22.535866	福田街道福华一路3号怡景中心城G层FG008	福田区	深圳市	B0FFHDGWQZ	[]	喜茶Lab概念店(中心城店)	广东省	0755-86636383	餐饮服务;甜品店;甜品店	050900	114.060583	22.535866	440000	广东省	喜茶
113.474231,22.264377	坦神北路19号合胜百货外广场第12号铺位	中山市	中山市	B0FFHCQZPA	[]	喜茶(坦洲店)	广东省	0760-88267833	餐饮服务;冷饮店;冷饮店	050700	113.474231	22.264377	440000	广东省	喜茶
113.121337,23.037954	文龙街8号东方广场红宝石组A01	禅城区	佛山市	B0FFH98E9X	[]	喜茶(东方广场店)	广东省	0757-82617151	餐饮服务;冷饮店;冷饮店	050700	113.121337	23.037954	440000	广东省	喜茶
113.376988,22.516615	民生路108号1-4卡	中山市	中山市	B0FFH7VFUO	[]	HEYTEA喜茶(白水井店)	广东省	0760-88838484	餐饮服务;冷饮店;冷饮店	050700	113.376988	22.516615	440000	广东省	喜茶
113.240150,23.110318	黄沙大道8号西城都荟1107房之4	荔湾区	广州市	B0FFH11ZXW	[]	HEYTEA喜茶(广州西城都荟店)	广东省	020-29015080	餐饮服务;冷饮店;冷饮店	050700	113.240150	23.110318	440000	广东省	喜茶
113.360995,22.941924	光明北路与繁华路交叉口西50米	番禺区	广州市	B0FFH0KQTI	[]	喜茶(番禺友谊店)	广东省	020-84888892	餐饮服务;冷饮店;冷饮店	050700	113.360995	22.941924	440000	广东省	喜茶
114.054191,22.533182	福华三路269号星河COCOPark1层L1-J07	福田区	深圳市	B0FFH0AE8J	[]	喜茶(COCO PARK店)	广东省	0755-36883096	餐饮服务;冷饮店;冷饮店	050700	114.054191	22.533182	440000	广东省	喜茶
113.992412,22.525085	白石路东8号欢乐海岸曲水湾1栋即俏江南和西贝之间	福田区	深圳市	B0FFGZF6ZD	[]	喜茶HEYTEA(欢乐海岸店)	广东省	0755-86631906	餐饮服务;冷饮店;冷饮店	050700	113.992412	22.525085	440000	广东省	喜茶
114.147048,22.748849	三正财富新地104号	东莞市	东莞市	B0FFGXX96X	[]	HEEKCAA喜茶(凤岗店)	广东省	13652687289;18666474575	餐饮服务;茶艺馆;茶艺馆	050600	114.147048	22.748849	440000	广东省	喜茶
114.412908,23.075307	麦地路58号	惠城区	惠州市	B0FFGS9AM0	[]	喜茶(惠州店)	广东省	[]	餐饮服务;冷饮店;冷饮店	050700	114.412908	23.075307	440000	广东省	喜茶
113.082838,22.611512	白石大道166号汇悦城1层	蓬江区	江门市	B0FFGRX23T	[]	喜茶(汇悦城店)	广东省	0750-3138993;0750-3912660	餐饮服务;冷饮店;冷饮店	050700	113.082838	22.611512	440000	广东省	喜茶
113.906356,22.559082	建安一路99号海雅缤纷城1层L131-1号	宝安区	深圳市	B0FFGPLQHF	[]	喜茶(海雅缤纷城店)	广东省	0755-86631990	餐饮服务;冷饮店;冷饮店	050700	113.906356	22.559082	440000	广东省	喜茶
113.935236,22.518083	海德三道85号天利名城购物中心2层L2-11B	南山区	深圳市	B0FFGMAL4V	[]	喜茶(海岸城店)	广东省	0755-86590906	餐饮服务;冷饮店;冷饮店	050700	113.935236	22.518083	440000	广东省	喜茶
113.359381,22.923956	福德路327号奥园广场东门(星巴克斜对面)	番禺区	广州市	B0FFGM65EH	[]	喜茶(番禺店)	广东省	020-31137261	餐饮服务;冷饮店;冷饮店	050700	113.359381	22.923956	440000	广东省	喜茶
113.085815,22.576826	胜利路28号地王广场3层	蓬江区	江门市	B0FFGFXBGS	[]	HEYTEA喜茶(地王店)	广东省	0750-3062992	餐饮服务;冷饮店;冷饮店	050700	113.085815	22.576826	440000	广东省	喜茶
113.324680,23.147888	林和中路63号东方宝泰B3层3046号	天河区	广州市	B0FFGB9720	[]	HEYTEA喜茶(广州东方宝泰店)	广东省	020-38615321	餐饮服务;冷饮店;冷饮店|餐饮服务;甜品店;甜品店	050700|050900	113.324680	23.147888	440000	广东省	喜茶
113.938361,22.500593	中心路2233号宝能·all city购物中心北区B1层	南山区	深圳市	B02F38N33H	[]	喜茶(南山宝能店)	广东省	0755-36868859	餐饮服务;冷饮店;冷饮店	050700	113.938361	22.500593	440000	广东省	喜茶
118.692278,24.785764	石蚶大道250号	石狮市	泉州市	B0FFHYB05R	[]	喜茶	福建省	[]	餐饮服务;餐饮相关场所;餐饮相关	050000	118.692278	24.785764	350000	福建省	喜茶
118.081804,24.453686	中华城1层	思明区	厦门市	B0FFI67K81	[]	酷道喜茶	福建省	13215929818	餐饮服务;餐饮相关场所;餐饮相关	050000	118.081804	24.453686	350000	福建省	喜茶
120.216809,27.323080	古城南路72号(市医院斜对面)	福鼎市	宁德市	B0FFI3DTZA	[]	喜茶	福建省	13673211033;18596683778	餐饮服务;冷饮店;冷饮店	050700	120.216809	27.323080	350000	福建省	喜茶
118.570870,24.883192	池店镇望江路百捷金街1栋店	晋江市	泉州市	B0FFICO15L	[]	喜茶(百捷上悦城)	福建省	15880812097;18120637335	餐饮服务;餐饮相关场所;餐饮相关	050000	118.570870	24.883192	350000	福建省	喜茶
119.085359,25.378333	水南村南洋东大道419号	荔城区	莆田市	B0FFI7YZV6	[]	喜茶(莆田总店)	福建省	0594-2156939	餐饮服务;冷饮店;冷饮店	050700	119.085359	25.378333	350000	福建省	喜茶
120.014955,26.884627	松港街道太康路355-18号	霞浦县	宁德市	B0FFHUCXDE	[]	喜茶(霞浦店)	福建省	15505936652	餐饮服务;餐饮相关场所;餐饮相关	050000	120.014955	26.884627	350000	福建省	喜茶
118.583929,24.629691	英林镇龙英路鑫龙百货一楼	晋江市	泉州市	B0FFGZPPA3	[]	鲜·喜茶(英林店)	福建省	15905987089	餐饮服务;冷饮店;冷饮店	050700	118.583929	24.629691	350000	福建省	喜茶
119.384237,25.722066	后埔街10号楼一层店面向阳坊旁边	福清市	福州市	B0FFI2WQFY	[]	宣喜茶	福建省	13960932699	餐饮服务;冷饮店;冷饮店	050700	119.384237	25.722066	350000	福建省	喜茶
119.303276,26.086565	东街街道68-2号	鼓楼区	福州市	B0FFIDMKWA	[]	媸喜茶(东街店)	福建省	15659923533	餐饮服务;餐饮相关场所;餐饮相关	050000	119.303276	26.086565	350000	福建省	喜茶
118.651138,24.729109	八七路691-693号(德辉广场2号门斜对面公交站旁)	石狮市	泉州市	B0FFI6MEIL	[]	弘韵喜茶(德辉店)	福建省	0595-88570606;15505951801	餐饮服务;冷饮店;冷饮店	050700	118.651138	24.729109	350000	福建省	喜茶
118.598999,24.903432	鲤中街道温陵北路大华商厦202店面	鲤城区	泉州市	B0FFI74E6F	[]	弘韵喜茶(温陵店)	福建省	15392218569	餐饮服务;冷饮店;冷饮店	050700	118.598999	24.903432	350000	福建省	喜茶
118.644416,24.738372	长银路191号(长福小区门面)	石狮市	泉州市	B0FFI6GRDW	[]	弘韵喜茶(泰禾店)	福建省	[]	餐饮服务;冷饮店;冷饮店|餐饮服务;糕饼店;糕饼店	050700|050800	118.644416	24.738372	350000	福建省	喜茶
119.381235,25.721877	玉屏街道向高街明书楼一层101店	福清市	福州市	B0FFIMUIWE	[]	多喜喜茶(福清店)	福建省	15880146980;17606075252	餐饮服务;冷饮店;冷饮店	050700	119.381235	25.721877	350000	福建省	喜茶
120.213130,27.305032	中汇广场正门口1号	福鼎市	宁德市	B0FFIPG91L	[]	酷道喜茶(中汇店)	福建省	13859641220	餐饮服务;冷饮店;冷饮店	050700	120.213130	27.305032	350000	福建省	喜茶
119.658535,27.086464	棠兴路9栋2014一楼	福安市	宁德市	B0FFI6ABLT	[]	酷道喜茶(棠兴店)	福建省	18359364912	餐饮服务;餐饮相关场所;餐饮相关	050000	119.658535	27.086464	350000	福建省	喜茶
118.625116,24.738095	九二路童装国际对面1023-1025号	石狮市	泉州市	B0FFHE77Q6	[]	禧茶(九二路店)	福建省	0595-88904321	餐饮服务;茶艺馆;茶艺馆	050600	118.625116	24.738095	350000	福建省	喜茶
118.644416,24.738372	长银路191号(泰禾店)	石狮市	泉州市	B0FFI8ZJI1	[]	HEETEA喜茶	福建省	13805914545	餐饮服务;快餐厅;快餐厅	050300	118.644416	24.738372	350000	福建省	喜茶
117.676410,24.496929	九龙大道以东漳州碧湖万达广场A1地块1幢D067号商铺二层	龙文区	漳州市	B0FFI2OIGP	[]	良辰喜茶	福建省	17750180996	餐饮服务;快餐厅;快餐厅	050300	117.676410	24.496929	350000	福建省	喜茶
118.122235,24.477072	明发商业广场莲前西路5号	思明区	厦门市	B0FFIKEB5O	[]	HEAK當喜茶	福建省	18649653792	餐饮服务;餐饮相关场所;餐饮相关	050000	118.122235	24.477072	350000	福建省	喜茶
117.031827,25.091797	九一南路30号	新罗区	龙岩市	B0FFINIA7J	[]	HEAKCEE又一喜茶	福建省	0597-2213801	餐饮服务;餐饮相关场所;餐饮相关	050000	117.031827	25.091797	350000	福建省	喜茶
118.995053,24.951583	小岞镇岞兴街万星城对面2层	惠安县	泉州市	B0FFI6KBFQ	[]	小岞鲜喜茶	福建省	15359528315	餐饮服务;餐饮相关场所;餐饮相关	050000	118.995053	24.951583	350000	福建省	喜茶
118.127498,24.472150	东浦路83号101店面	思明区	厦门市	B0FFHWISRZ	[]	YHEEKCCA御喜茶	福建省	15060702793	购物服务;购物相关场所;购物相关场所	060000	118.127498	24.472150	350000	福建省	喜茶
117.019298,25.088317	登高西路世纪天成	新罗区	龙岩市	B0FFI8WZHN	[]	喜茶风范旗舰店	福建省	13859599103	购物服务;购物相关场所;购物相关场所	060000	117.019298	25.088317	350000	福建省	喜茶
119.319361,26.078483	六一北路583号小桥新苑1座	鼓楼区	福州市	B0FFFFRWSW	[]	茶喜楼	福建省	[]	餐饮服务;茶艺馆;茶艺馆	050600	119.319361	26.078483	350000	福建省	喜茶
118.591629,24.811610	和平中路140号	晋江市	泉州市	B0FFIIMDAT	[]	热麦喜	福建省	15905072909	餐饮服务;餐饮相关场所;餐饮相关	050000	118.591629	24.811610	350000	福建省	喜茶
118.122336,24.479049	莲坂商业广场西区211号	思明区	厦门市	B0FFIJNOPX	[]	热麦喜	福建省	17689463090	餐饮服务;餐饮相关场所;餐饮相关	050000	118.122336	24.479049	350000	福建省	喜茶
118.081489,24.453459	中山路中华城北区127号	思明区	厦门市	B0FFI90LXA	[]	HITEA	福建省	13215929818	餐饮服务;餐饮相关场所;餐饮相关	050000	118.081489	24.453459	350000	福建省	喜茶
119.085754,25.378226	黄石镇南洋东大道419号莆田八中旁	荔城区	莆田市	B0FFIBO8UF	[]	HI Tea(莆田店)	福建省	0594-2156939	餐饮服务;茶艺馆;茶艺馆	050600	119.085754	25.378226	350000	福建省	喜茶
109.505974,18.245306	解放路366号附近	天涯区	三亚市	B0FFIPDIX3	[]	港座喜茶	海南省	[]	餐饮服务;冷饮店;冷饮店	050700	109.505974	18.245306	460000	海南省	喜茶
112.571500,37.848880	并州北路219号15栋一层-3号(裕智大厦建行旁)	迎泽区	太原市	B0FFI2BANR	[]	大苏喜香港丝袜奶茶	山西省	15110351664	餐饮服务;糕饼店;糕饼店	050800	112.571500	37.848880	140000	山西省	喜茶
113.286306,40.090849	迎泽北街85号附近	城区	大同市	B0FFG7LM9J	[]	仟仟喜茶庄	山西省	[]	购物服务;专卖店;专营店	061200	113.286306	40.090849	140000	山西省	喜茶
112.746762,38.447793	云中北路与公园东街交叉口西150米	忻府区	忻州市	B0FFH6EI2W	[]	甚喜茶业	山西省	[]	购物服务;专卖店;专营店	061200	112.746762	38.447793	140000	山西省	喜茶
113.589660,37.853183	新华东街食品总厂房屋(原怡园浴池)	城区	阳泉市	B0FFGO0UUP	[]	喜洋洋茶社	山西省	18135353980	餐饮服务;茶艺馆;茶艺馆	050600	113.589660	37.853183	140000	山西省	喜茶
113.585695,37.852156	新华东街与新华东街北二巷交叉口东南50米	城区	阳泉市	B0FFHLECSE	[]	喜洋洋茶社	山西省	13111231911	餐饮服务;茶艺馆;茶艺馆	050600	113.585695	37.852156	140000	山西省	喜茶
112.571502,37.848840	并州北路213号(煤监局旁边)	迎泽区	太原市	B0FFH3FLP4	[]	大苏喜手作茶饮	山西省	[]	餐饮服务;糕饼店;糕饼店	050800	112.571502	37.848840	140000	山西省	喜茶
113.116865,36.176640	延安南路78号6中旁边	城区	长治市	B0FFIGJHDP	[]	喜粤餐厅	山西省	18535510203	餐饮服务;餐饮相关场所;餐饮相关	050000	113.116865	36.176640	140000	山西省	喜茶
112.729396,38.435833	七一北路69号美的太洗浴中心楼下	忻府区	忻州市	B0FFHVMWH1	[]	HiTea酷道喜茶	山西省	15135099597	餐饮服务;餐饮相关场所;餐饮相关	050000	112.729396	38.435833	140000	山西省	喜茶
113.600562,37.856587	三角线路凤凰城洗浴中心对面	城区	阳泉市	B01610LTEU	[]	喜来乐茶馆(德胜东街)	山西省	0353-2965555	餐饮服务;茶艺馆;茶艺馆	050600	113.600562	37.856587	140000	山西省	喜茶
121.008259,24.835936	竹北市博愛街346號	[]	[]	B0FFFUPFN7	[]	甘喜茶	[]	03-5515291	餐饮服务;咖啡厅;咖啡厅	050500	121.008259	24.835936	710000	台湾省	喜茶
120.876143,24.686925	竹南鎮博愛街120號	[]	[]	B0FFFUPMV0	[]	甘喜茶	[]	[]	餐饮服务;咖啡厅;咖啡厅	050500	120.876143	24.686925	710000	台湾省	喜茶
121.045442,24.902673	民族街100	[]	[]	B0FFFUPOM6	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	121.045442	24.902673	710000	台湾省	喜茶
121.013595,24.8736	新竹縣湖口鄉仁和路75號	[]	[]	B0FFFUPOQ1	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	121.013595	24.8736	710000	台湾省	喜茶
121.013241,24.835267	竹北市中正東路248號	[]	[]	B0FFFUNWLX	[]	甘喜茶	[]	03-5550170	餐饮服务;快餐厅;快餐厅	050300	121.013241	24.835267	710000	台湾省	喜茶
121.088915,24.737353	竹東鎮長春路二段18號	[]	[]	B0FFFUPO3T	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	121.088915	24.737353	710000	台湾省	喜茶
121.019226,24.782423	東區光復路一段295號	[]	[]	B0FFFUPP6W	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	121.019226	24.782423	710000	台湾省	喜茶
120.978789,24.8088	民族路160	[]	[]	B0FFFUPPP1	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	120.978789	24.8088	710000	台湾省	喜茶
120.973497,24.816122	光華一街6	[]	[]	B0FFFUPO4Z	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	120.973497	24.816122	710000	台湾省	喜茶
120.97188,24.80424	東區東門街82號	[]	[]	B0FFFUPO77	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	120.97188	24.80424	710000	台湾省	喜茶
120.975536,24.796585	新竹市東區食品路187號	[]	[]	B0FFFUPO5Y	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	120.975536	24.796585	710000	台湾省	喜茶
120.967033,24.795829	南大路443	[]	[]	B0FFFUPOYU	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	120.967033	24.795829	710000	台湾省	喜茶
120.964034,24.804157	西大路452	[]	[]	B0FFFUPOOL	[]	甘喜茶	[]	03-5222005	餐饮服务;茶艺馆;茶艺馆	050600	120.964034	24.804157	710000	台湾省	喜茶
120.952529,24.756385	香山區五福路二段806號2樓	[]	[]	B0FFFUPPJ9	[]	甘喜茶	[]	[]	餐饮服务;茶艺馆;茶艺馆	050600	120.952529	24.756385	710000	台湾省	喜茶
